Fecha;Oferta;NumPedido;Cliente;Destino;Serie;L;A;H;EstBase;EstCubierta;EstPilar;Cubierta;PanelGrosor;PanelTipo;Base;Acabado;Suministro;Perfilado;ColorPanel;ColorEstructura;ColorCarpinteria;Notas;FolderPath;Impreso;Enviado;Entregado;TipoRegistro;Revision;RevHecha;NotasRev;FechasRev;Favorito;Carpeta;Modulo;Cantidad;Conjunto;Adosamiento
25/3/2026;OF 26665;7103/26;ALGECO;MURCIA 1;36808;3840;2350;2500;;;;ESTÁNDAR;50;LDR;HIDRÓFUGO;TARKETT;ARMADO;GP1;#F5F5F5;#F5F5F5;#F5F5F5;TARKKET R9;;0;0;false;0;0;{};{};{};false;yellow;M1;1;false;
25/3/2026;OF 25856;5486/26;MAQUINARIA CALDERÓN;SALAMANCA 3;36299;3300;1700;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;;;0;0;false;0;0;{};{};{};false;yellow;M1;1;false;
24/3/2026;OF 26517;6755/26;PREFABRI;BENALMÁDENA;36809-36811;6000;2350;3000;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;REMATES DE ADOSAMIENTO;;2;2;true;0;4;{"4":true};{};{"4":"24/3/2026"};false;yellow;M1;3;true;{"placed":[{"key":"k_1774530472020_kuprkj45awo","poolId":"1774361580517_1","modulo":"M1","l":2350,"a":6000,"x":0,"y":0},{"key":"k_1774534507725_t8u5no48ws","poolId":"1774361580517_0","modulo":"M1","l":2350,"a":6000,"x":2360,"y":0},{"key":"k_1774534514547_y2sp2f03e6q","poolId":"1774361580517_2","modulo":"M1","l":2350,"a":6000,"x":4720,"y":0}],"faceMap":{"k_1774534507725_t8u5no48ws":{"E":"abierto","W":"abierto"},"k_1774534514547_y2sp2f03e6q":{"W":"abierto"},"k_1774530472020_kuprkj45awo":{"E":"abierto"}}}
23/3/2026;OF 26741/26715;5372/26;ERRA TECNI RAM;VIC 1;36804-36806;2300;2350;2275;;;;PANEL;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;ESQUINERO 2358!!!;;2;2;true;0;0;{"2":true};{};{"2":"23/3/2026"};true;green;M1;1;false;
23/3/2026;OF 26741/26715;5372/26;ERRA TECNI RAM;VIC 1;36807;4000;2350;2275;;;;PANEL;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;ESQUINERO 2358!!!;;2;2;true;0;2;{"2":true};{};{"2":"23/3/2026"};true;green;M2;1;false;
13/3/2026;OF 26703;6266/26;ALGECO;VALENCIA 4;36408;5840;2350;2500;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;;;0;0;false;0;0;{};{};{};false;yellow;M1;1;false;
11/3/2026;OF 25835;4911/26;CYC VIAS;MADRID 2;36288;7000;2400;2500;;;;ESTÁNDAR;60;PUR;HORMIGONADA;PORCELÁNICO;ARMADO;GL;#F5F5F5;#F5F5F5;#F5F5F5;;;2;2;true;0;1;{"1":true};{};{"1":"11/3/2026"};false;yellow;M1;1;false;
9/3/2026;OF 23725;5487/26;MODULTO;JORY 7;36304-36305;1190;1190;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;;;2;2;true;0;0;{};{};{};false;green;M1;1;false;
9/3/2026;OF 26782;5891/26;BEXBE;GERONA 7;36328-36329;2300;2350;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;;;2;2;true;0;0;{};{};{};false;green;M1;1;false;
3/3/2026;OF 26660;4916/16;MAYFE;MALLORCA 1;36220;2300;2350;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;;"\\192.168.1.222\Modulos\MÓDULOS\FABRICACION\PEDIDOS AÑO 2026\OF 4916 MAYFE ---- OB. MALLORCA 1\PLANOS DE FABRICACIÓN\4916 (26660) PLANOS MAYFE - OB. MALLORCA 1.dwg";2;2;true;0;3;{"3":true};{};{"3":"3/3/2026"};false;green;M1;1;false;
3/3/2026;OF 26660;4916/16;MAYFE;MALLORCA 1;36217-36219;1600;2130;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;CUBIERTA PANEL 165mm;;2;2;true;0;3;{"3":true};{};{"3":"3/3/2026"};false;green;M2;1;false;
3/3/2026;OF TARIFA;4920/26;MAYFE;MALLORCA 2;36221;2300;2350;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;AIS-1 TARIFA;;2;2;true;0;0;{};{};{};false;green;M1;1;false;
3/3/2026;OF 26736;5182/26;ALGECO;BARCELONA 7;36204;2300;2350;2500;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;;;2;2;true;0;0;{};{};{};false;green;M1;1;false;
27/2/2026;OF 26705;4759/26;HERA CUNI;TARRAGONA 5;36203;2300;2350;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;KIT;GOF;;#F5F5F5;;KIT;;2;2;true;0;0;{};{};{};false;green;M1;1;false;
27/2/2026;OF 18654;4545/26;FERRERO MOTOR;MARIANO 1;36195-36199;6000;2350;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;KIT;;;#F5F5F5;;ESTRUCTURA KIT;;2;2;true;0;1;{"1":true};{};{"1":"27/2/2026"};false;green;M1;1;false;
25/2/2026;OF 26566;4359/26;ALGECO;BARCELONA 6;36115;1820;1300;2500;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;SANITARIO;;2;2;true;0;0;{};{};{};false;green;M1;1;false;
25/2/2026;OF 26593;4042/26;OKATENT;BARCELONA 5;36109-36110;5840;2350;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;SANITARIO;;2;2;true;0;2;{"2":true};{};{"1":"25/2/2026","2":"17/02/2026"};false;green;M1;1;false;
25/2/2026;OF 25419;3760/26;PREFABRI;ONTÍGOLA;36039;6000;2400;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;CHURRERAS / PORTONES + FREGADERO;;2;2;true;0;0;{};{};{};true;yellow;M1;1;false;
20/2/2026;OF 26356;3509/26;AGRIMAQ;ZAMORA 1;36042-36043;5840;2350;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;;;2;2;true;0;0;{};{};{};false;green;M1;1;false;
19/02/2026;OF 25881;3089/26;ATLANTIQUE PROFILAGE;FRANCIA 6;36035;5840;2350;2275;;;;ESTÁNDAR;40;PUR;FENÓLICO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;PASO ATUNELADO - V 4/6/4 ALU;;2;2;true;0;1;{"1":true};{};{};false;green;M1;1;false;
17/2/2026;OF TARIFA;3102/26;ATLANTIQUE PROFILAGE;FRANCIA 7;36036;2300;2350;2275;;;;ESTÁNDAR;40;PUR;FENÓLICO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;PASO ATUNELADO - V 4/6/4 ALU;;2;2;true;0;0;{};{};{};false;green;M1;1;false;
16/2/2026;OF TARIFA;3098/26;PREFABRI;MÁLAGA 5;36031;8000;2350;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;;;2;2;true;0;0;{};{};{};false;green;M1;1;false;
10/2/2026;OF 26093;2627/26;ALGECO;OURENSE 1;35789;1820;1300;2500;;;;ESTÁNDAR;40;LDR;HIDRÓFUGO;SINTASOL;ARMADO;GP1;#F5F5F5;#F44611;#F5F5F5;;;2;2;true;0;0;{};{};{};false;yellow;M1;1;false;
10/2/2026;OF TARIFA;2281/26;ATLANTIQUE PROFILAGE;FRANCIA 4;35968;2300;2350;2275;;;;ESTÁNDAR;40;PUR;FENÓLICO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;PASO ATUNELADO - V 4/6/4 ALU;;2;2;true;0;0;{};{};{};false;green;M1;1;false;
22/1/2026;OF -;451/26;TRANIX;MADRID 1;35661-35664;2300;2350;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;PLANO CUBIERTA PRO;;1;0;false;0;1;{};{"1":"","2":""};{};true;green;M1;1;false;
21/1/2026;26377/26;;LUDGERO;-;-;0;0;0;;;;ESTÁNDAR;;;;;;;;;;OFERTA;;0;0;true;1;1;{"1":false};{};{};false;pink;M1;1;false;
21/1/2026;26374/26;;ISOTRON;-;-;0;0;0;;;;ESTÁNDAR;;;;;;;;;;OFERTA;;0;0;true;1;1;{};{};{};false;pink;M1;1;false;
21/1/2026;26365/26;;PREFABRI;-;-;0;0;0;;;;ESTÁNDAR;;;;;;;;;;OFERTA;;0;0;true;1;1;{};{};{};false;pink;M1;1;false;
21/1/2026;26346/26;;PREFABRI;-;-;0;0;0;;;;ESTÁNDAR;;;;;;;;;;OFERTA;;0;0;true;1;1;{};{};{};false;pink;M1;1;false;
21/1/2026;26345/26;;PREFABRI;-;-;0;0;0;;;;ESTÁNDAR;;;;;;;;;;OFERTA;;0;0;true;1;1;{};{};{};false;pink;M1;1;false;
21/1/2026;26270/26;;CASAREDIA;MADRID;-;0;0;0;;;;ESTÁNDAR;;;;;;;;;;OFERTA;;0;0;true;1;2;{};{};{"2":"25/2/2026"};false;red;M1;1;false;
14/1/2026;OF -;32091/25;VALORA MARINE;CORUÑA 8;35602-35604;6000;2350;2275;;;;ESTÁNDAR;40;PUR;FENÓLICO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;CORREAS C/415mm;;0;1;false;0;1;{};{};{};false;green;M1;1;false;
14/1/2026;OF -;422/26;PREFABRI;CONDE;35605-35606;5000;2350;2275;;;;ESTÁNDAR;40;PUR;HIDRÓFUGO;SINTASOL;ARMADO;GOF;#F5F5F5;#F5F5F5;#F5F5F5;REMATES DE ADOSAMIENTO;;2;2;true;0;1;{};{};{};false;yellow;M1;1;false;
